geoidtxt,tractfips,chicago,mailreturnratecen2010,lowresponsescore,totpop,totunder5,hispanic,blackaloneorcombo,asianaloneorcombo,amerindaloneorcombo,nathawaloneorcombo,tothh,totpopinhhs,groupquarter,lephhs,lepspanhhs,lepindoeurhhs,lepapachhs,lepotherhhs,totpopbornoutus,fb2010plus,fb2000plus,owner_total,renter_total,hh_singleparent,hh_crowded,hh_owner_crowded,hh_renter_crowded,poverty_total,poverty_less100,poverty_less200,housingunits_total,units_2plus,units_10plus,nointernet,internet_nosub,internet,dialuponly,broadband_any,broadband_cablefiberopticdsl,broadband_cablefiberopticdslonly,cellular,cellularonly,satellite,satelliteonly,otheronly,hher15to34,hher35to54,hher55to64,hher65plus,moved2015later,move10to14,moved00to09,moved90to99,moved1989earlier,intfirsteng,intfirstbiling,intchoiceeng,intchoicebiling,mailtypenotknown,updateenumerate,remotealaska,updateleave
17031460301,4603.01,TRUE,61.8,33.7,"3,124",306,944,"2,196",0,9,9,989,"3,124",0,100,100,0,0,0,615,98,207,419,570,334,24,7,17,"3,116","1,059","1,988","1,372",882,0,218,57,714,0,714,442,54,642,254,30,9,9,244,368,177,200,256,307,212,110,104,0,0,0,"1,372",0,0,0,0
17031460302,4603.02,TRUE,62.5,32.1,"3,483",299,223,"3,197",0,0,0,"1,146","3,474",9,39,0,0,0,39,155,0,57,451,695,271,64,0,64,"3,483","1,320","2,434","1,631",885,75,271,92,783,13,770,473,94,645,276,47,5,0,251,436,207,252,132,497,122,81,314,0,0,"1,631",0,0,0,0,0
17031460400,4604,TRUE,69,29,"3,374",192,16,"3,286",16,0,0,"1,204","3,369",5,0,0,0,0,0,91,0,0,561,643,361,0,0,0,"3,374",726,"1,412","1,606",908,87,295,72,837,0,837,585,140,678,213,83,0,0,91,563,114,436,191,278,299,100,336,0,0,"1,606",0,0,0,0,0
17031460500,4605,TRUE,77.5,26,"5,647",252,33,"5,613",0,0,0,"2,364","5,647",0,0,0,0,0,0,57,0,28,"1,211","1,153",304,24,24,0,"5,624",443,"1,685","2,718","1,201",332,532,16,"1,816",0,"1,816","1,116",501,"1,315",686,24,0,0,287,773,564,740,281,581,463,442,597,0,0,"2,718",0,0,0,0,0
17031460600,4606,TRUE,61.9,30.7,"1,008",43,207,801,0,0,0,363,999,9,12,12,0,0,0,95,7,77,124,239,56,12,12,0,"1,008",196,603,466,349,0,117,8,238,0,238,166,33,194,48,24,11,0,83,160,62,58,38,174,55,45,51,0,0,466,0,0,0,0,0
17031460700,4607,TRUE,55.7,36.2,"2,636",345,"1,049","1,541",61,0,0,921,"2,611",25,144,116,20,8,0,482,29,135,251,670,359,25,9,16,"2,617","1,179","1,705","1,292","1,094",0,236,49,636,0,636,429,43,581,195,12,12,0,316,362,79,164,176,349,139,152,105,0,0,0,"1,292",0,0,0,0
17031461000,4610,TRUE,68.3,27.9,"1,313",13,407,828,0,5,0,764,"1,211",102,56,45,11,0,0,149,15,64,88,676,54,0,0,0,"1,291",399,980,990,947,554,457,49,258,0,258,210,89,169,36,5,0,0,23,137,114,490,117,412,154,38,43,0,0,990,0,0,0,0,0
17031470100,4701,TRUE,76.2,27.4,"2,336",35,37,"2,265",0,24,0,"1,046","2,336",0,39,0,28,0,11,69,0,16,487,559,121,19,19,0,"2,336",414,955,"1,324",599,254,437,36,573,16,557,455,221,325,36,65,0,0,62,277,187,520,87,214,311,114,320,0,0,"1,324",0,0,0,0,0
17031480100,4801,TRUE,79.8,22.3,"2,192",73,7,"2,165",0,6,16,919,"2,192",0,14,0,14,0,0,67,0,6,724,195,148,0,0,0,"2,192",152,479,969,104,54,183,23,713,0,713,600,180,520,100,44,0,0,34,323,148,414,91,73,215,134,406,0,0,969,0,0,0,0,0
17031480200,4802,TRUE,73,27.3,"1,139",19,11,"1,119",0,9,0,510,"1,139",0,0,0,0,0,0,0,0,0,282,228,75,16,0,16,"1,121",177,300,635,446,0,147,7,356,0,356,276,90,243,69,39,11,0,18,133,154,205,90,90,109,54,167,0,0,635,0,0,0,0,0
