"TRACT","ward","households","tract_total","allocation","tract_shortname"
"17031110100",45,1140,2114,0.53926206244087,"1101"
"17031110200",45,1267,1267,1,"1102"
"17031110300",45,1999,1999,1,"1103"
"17031110400",45,1908,1908,1,"1104"
"17031110501",45,1789,1789,1,"1105.01"
"17031110502",45,1525,1525,1,"1105.02"
"17031120100",39,44,1497,0.0293921175684703,"1201"
"17031120100",41,1453,1497,0.97060788243153,"1201"
"17031120200",39,987,1732,0.56986143187067,"1202"
"17031120200",41,745,1732,0.43013856812933,"1202"
"17031120300",39,2451,2451,1,"1203"
"17031120400",39,608,1280,0.475,"1204"
"17031120400",45,672,1280,0.525,"1204"
"17031130100",39,1521,2321,0.6553209823352,"1301"
"17031130100",50,800,2321,0.3446790176648,"1301"
"17031130200",39,672,672,1,"1302"
"17031130300",39,1816,1816,1,"1303"
"17031140100",33,1147,1147,1,"1401"
"17031140200",33,2806,2928,0.958333333333333,"1402"
"17031140200",39,122,2928,0.0416666666666667,"1402"
"17031140301",35,511,788,0.648477157360406,"1403.01"
"17031140301",39,277,788,0.351522842639594,"1403.01"
"17031140302",33,191,1670,0.11437125748503,"1403.02"
"17031140302",39,1479,1670,0.88562874251497,"1403.02"
"17031140400",39,2332,2332,1,"1404"
"17031140500",39,1314,1314,1,"1405"
"17031140601",35,936,936,1,"1406.01"
"17031140602",35,1660,1660,1,"1406.02"
"17031140701",33,1035,1035,1,"1407.01"
"17031140702",33,1599,2136,0.748595505617977,"1407.02"
"17031140702",35,537,2136,0.251404494382022,"1407.02"
"17031140800",33,2676,2676,1,"1408"
"17031150200",45,3056,3056,1,"1502"
"17031150300",38,2125,3082,0.689487345879299,"1503"
"17031150300",45,957,3082,0.310512654120701,"1503"
"17031150401",38,1006,1838,0.547334058759521,"1504.01"
"17031150401",45,832,1838,0.452665941240479,"1504.01"
"17031150402",38,1297,1297,1,"1504.02"
"17031150501",38,1471,1471,1,"1505.01"
"17031150502",38,1549,1549,1,"1505.02"
"17031150600",36,468,1418,0.330042313117066,"1506"
"17031150600",38,950,1418,0.669957686882934,"1506"
"17031150700",30,265,1524,0.173884514435696,"1507"
"17031150700",36,260,1524,0.170603674540682,"1507"
"17031150700",38,770,1524,0.505249343832021,"1507"
"17031150700",45,229,1524,0.150262467191601,"1507"
"17031150800",30,615,1809,0.339966832504146,"1508"
"17031150800",45,1194,1809,0.660033167495854,"1508"
"17031151001",31,907,907,1,"1510.01"
"17031151002",30,612,1583,0.38660770688566,"1510.02"
"17031151002",31,971,1583,0.61339229311434,"1510.02"
"17031151100",30,1045,1814,0.576074972436604,"1511"
"17031151100",31,396,1814,0.218302094818082,"1511"
"17031151100",36,373,1814,0.205622932745314,"1511"
"17031151200",30,341,1245,0.273895582329317,"1512"
"17031151200",36,904,1245,0.726104417670683,"1512"
"17031160100",39,979,979,1,"1601"
"17031160200",39,752,1330,0.565413533834586,"1602"
"17031160200",45,578,1330,0.434586466165414,"1602"
"17031160300",39,2024,2029,0.997535731887629,"1603"
"17031160300",45,5,2029,0.00246426811237063,"1603"
"17031160400",35,826,1874,0.44076840981857,"1604"
"17031160400",39,574,1874,0.306296691568837,"1604"
"17031160400",45,474,1874,0.252934898612593,"1604"
"17031160501",33,798,1328,0.600903614457831,"1605.01"
"17031160501",35,530,1328,0.399096385542169,"1605.01"
"17031160502",33,585,1325,0.441509433962264,"1605.02"
"17031160502",35,740,1325,0.558490566037736,"1605.02"
"17031160601",33,1369,1369,1,"1606.01"
"17031160602",33,1480,1480,1,"1606.02"
"17031160700",33,2508,2508,1,"1607"
"17031160800",33,958,1909,0.501833420639078,"1608"
"17031160800",35,951,1909,0.498166579360922,"1608"
"17031160900",30,228,1077,0.211699164345404,"1609"
"17031160900",45,849,1077,0.788300835654596,"1609"
"17031161000",45,835,835,1,"1610"
"17031161100",45,761,761,1,"1611"
"17031161200",30,978,978,1,"1612"
"17031161300",30,1453,1453,1,"1613"
"17031170100",38,1152,1152,1,"1701"
"17031170200",36,483,1279,0.377638780297107,"1702"
"17031170200",38,796,1279,0.622361219702893,"1702"
"17031170300",38,1896,1896,1,"1703"
"17031170400",38,1552,1552,1,"1704"
"17031170500",38,2035,2035,1,"1705"
"17031170600",38,1028,1028,1,"1706"
"17031170700",38,1055,1055,1,"1707"
"17031170800",29,647,1447,0.44713199723566,"1708"
"17031170800",38,800,1447,0.55286800276434,"1708"
"17031170900",29,666,666,1,"1709"
"17031171000",29,296,2771,0.106820642367376,"1710"
"17031171000",36,937,2771,0.338145073980512,"1710"
"17031171000",38,1538,2771,0.555034283652111,"1710"
"17031171100",30,209,1297,0.161141094834233,"1711"
"17031171100",36,1088,1297,0.838858905165767,"1711"
