"TRACT_2020","TRACT_prev","N","tot2020","allocation"
"17031400300","17031400300",592,592,1
"17031400400","17031400400",744,744,1
"17031400500","17031400500",798,798,1
"17031400800","17031400800",1142,1142,1
"17031410100","17031410100",1227,1227,1
"17031410200","17031410200",929,929,1
"17031410500","17031410500",1339,1339,1
"17031410600","17031410600",1223,1223,1
"17031410700","17031410700",1065,1065,1
"17031410800","17031410800",1863,1863,1
"17031410900","17031410900",1814,1814,1
"17031411000","17031411000",2137,2137,1
"17031411100","17031411100",1145,1145,1
"17031411200","17031411200",873,873,1
"17031420100","17031420100",760,760,1
"17031420200","17031420200",816,816,1
"17031420300","17031420300",1882,1882,1
"17031420400","17031420400",716,716,1
"17031420500","17031420500",822,822,1
"17031420600","17031420600",963,963,1
"17031420700","17031420700",1287,1287,1
"17031420800","17031420800",824,824,1
"17031421200","17031421200",562,562,1
"17031430101","17031430101",1689,1689,1
"17031430102","17031430102",1901,1901,1
"17031430200","17031430200",2430,2430,1
"17031430300","17031430300",926,926,1
"17031430400","17031430400",1196,1196,1
"17031430500","17031430500",1628,1628,1
"17031430600","17031430600",749,749,1
"17031430700","17031430700",1557,1557,1
"17031430800","17031430800",731,731,1
"17031430900","17031430900",673,673,1
"17031431200","17031431200",1369,1369,1
"17031431301","17031431301",1356,1356,1
"17031431302","17031431302",1721,1721,1
"17031431400","17031431400",3769,3769,1
"17031440101","17031440101",1873,1873,1
"17031440102","17031440102",1650,1650,1
"17031440201","17031440201",2407,2407,1
"17031440202","17031440202",1712,1712,1
"17031440300","17031440300",2105,2105,1
"17031440600","17031440600",823,823,1
"17031440700","17031440700",668,668,1
"17031440800","17031440800",718,718,1
"17031440900","17031440900",1006,1006,1
"17031450300","17031450300",1461,1461,1
"17031460100","17031460100",1154,1154,1
"17031460200","17031460200",875,875,1
"17031460301","17031460301",1006,1006,1
"17031460302","17031460302",1261,1261,1
"17031460400","17031460400",1334,1334,1
"17031460500","17031460500",2295,2295,1
"17031460800","17031460600",386,1335,0.289138576779026
"17031460800","17031460700",949,1335,0.710861423220974
"17031461000","17031461000",940,940,1
"17031470100","17031470100",1020,1020,1
"17031480100","17031480100",930,930,1
"17031480200","17031480200",544,544,1
"17031480300","17031480300",577,577,1
"17031480400","17031480400",2389,2389,1
"17031480500","17031480500",1180,1180,1
"17031490200","17031490300",888,1268,0.700315457413249
"17031490200","17031490400",380,1268,0.299684542586751
"17031490500","17031490500",950,950,1
"17031490600","17031490600",583,583,1
"17031490700","17031490700",910,910,1
"17031490800","17031490800",1518,1518,1
"17031490901","17031490901",1517,1517,1
"17031490902","17031490902",2038,2038,1
"17031491000","17031491000",1231,1231,1
"17031491100","17031491100",1763,1763,1
"17031491200","17031491200",728,728,1
"17031491300","17031491300",759,759,1
"17031491400","17031491400",1220,1220,1
"17031500100","17031500100",1626,1626,1
"17031500200","17031500200",833,833,1
"17031500300","17031500300",749,749,1
"17031510100","17031510100",1101,1101,1
"17031510200","17031510200",1087,1087,1
"17031510300","17031510300",2000,2000,1
"17031520100","17031520100",544,544,1
"17031520200","17031520200",1016,1016,1
"17031520300","17031520300",1868,1868,1
"17031520400","17031520400",1360,1360,1
"17031520500","17031520500",1890,1890,1
"17031520600","17031520600",1051,1051,1
"17031530100","17031530100",785,785,1
"17031530200","17031530200",1392,1392,1
"17031530300","17031530300",1609,1609,1
